,latency,quantile,threads,throughput
0,59.99,99,64,33142.71
1,59.99,99,64,32853.62
2,59.99,99,64,27136.06
3,59.99,99,64,27173.95
4,59.99,99,64,27141.94
5,59.99,99,64,27096.15
6,59.99,99,64,27033.82
7,59.99,99,64,27099.85
8,59.99,99,64,27133.32
9,59.99,99,64,27139.96
10,59.99,99,64,27104.99
11,59.99,99,64,27124.0
12,59.99,99,64,27005.98
13,59.99,99,64,27163.11
14,59.99,99,64,27114.86
15,59.99,99,64,27146.01
16,59.99,99,64,27125.0
17,59.99,99,64,27071.1
18,59.99,99,64,27077.9
19,59.99,99,64,27143.1
20,59.99,99,64,27098.97
21,59.99,99,64,27148.07
22,59.99,99,64,27110.91
23,59.99,99,64,27155.11
24,59.99,99,64,27081.88
25,59.99,99,64,27085.11
26,59.99,99,64,27099.08
27,59.99,99,64,27110.0
28,59.99,99,64,27138.01
29,59.99,99,64,27151.98
